repo_id"user_id"created_at"ext_ref_id
1"71003"2009-02-16 11:51:54"523add98bd3543223900a1e0
9"12579"2009-01-15 15:15:18"523466f2bd35436e8d003761
9"12610"2009-01-15 15:15:18"523466f2bd35436e8d00374f
9"12637"2009-01-15 15:15:18"523466f2bd35436e8d00374a
9"12698"2009-01-15 15:15:18"523466f2bd35436e8d003756
9"12722"2009-01-15 15:15:18"52aadf87bd3543c0a1000003
9"13157"2009-01-15 15:15:18"523466f2bd35436e8d003759
9"13224"2009-01-15 15:15:18"523466f2bd35436e8d00374c
9"13534"2009-01-15 15:15:18"523466f2bd35436e8d00374d
9"16672"2009-01-15 15:15:18"523466f2bd35436e8d003748
9"16675"2009-01-15 15:15:18"523466f2bd35436e8d003757
9"195780"2009-01-15 15:15:18"52aadf87bd3543c0a1000006
9"507730"2009-01-15 15:15:18"52aadf87bd3543c0a1000001
9"507731"2009-01-15 15:15:18"52aadf87bd3543c0a1000002
9"507732"2009-01-15 15:15:18"52aadf87bd3543c0a1000004
9"507733"2009-01-15 15:15:18"52aadf87bd3543c0a1000007
9"507734"2009-01-15 15:15:18"52aadf87bd3543c0a1000009
10"14"2011-11-22 20:27:23"52344228bd35436e920007c3
11"15"2010-12-27 07:18:58"52350890bd35436e8e005154
11"2513"2010-12-27 07:18:58"52350890bd35436e8e005155
11"2528"2010-12-27 07:18:58"52350890bd35436e8e005157
11"2596"2010-12-27 07:18:58"52350890bd35436e8e005156
12"4351"2010-12-28 22:40:07"5234e5febd35436eaf0072c1
12"9962"2010-12-28 22:40:07"5234e5febd35436eaf0072c8
12"9980"2010-12-28 22:40:07"5234e5febd35436eaf0072c5
12"10004"2010-12-28 22:40:07"5234e5febd35436eaf0072d3
12"10231"2010-12-28 22:40:07"5234e5febd35436eaf0072d1
12"15444"2010-12-28 22:40:07"5234e5febd35436eaf0072cd
12"15459"2010-12-28 22:40:07"5234e5febd35436eaf0072cf
12"15972"2010-12-28 22:40:07"5234e5febd35436eaf0072d2
12"16473"2010-12-28 22:40:07"5234e5febd35436eaf0072d7
12"25122"2010-12-28 22:40:07"5234e5febd35436eaf0072c4
12"25126"2010-12-28 22:40:07"5234e5febd35436eaf0072ca
12"25130"2010-12-28 22:40:07"52aadf8dbd3543c0bc000002
12"25141"2010-12-28 22:40:07"5234e5febd35436eaf0072c0
12"25158"2010-12-28 22:40:07"5234e5febd35436eaf0072ce
12"25180"2010-12-28 22:40:07"5234e5febd35436eaf0072cb
12"25258"2010-12-28 22:40:07"5234e5febd35436eaf0072d0
12"25385"2010-12-28 22:40:07"5234e5febd35436eaf0072d6
12"25408"2010-12-28 22:40:07"5234e5febd35436eaf0072c7
12"25452"2010-12-28 22:40:07"5234e5febd35436eaf0072d5
12"25544"2010-12-28 22:40:07"5234e5febd35436eaf0072c3
12"25613"2010-12-28 22:40:07"5234e5febd35436eaf0072c2
12"25666"2010-12-28 22:40:07"5234e5febd35436eaf0072c6
12"25743"2010-12-28 22:40:07"5234e5febd35436eaf0072c9
12"25833"2010-12-28 22:40:07"5234e5febd35436eaf0072d4
12"25897"2010-12-28 22:40:07"5234e5febd35436eaf0072cc
12"29045"2010-12-28 22:40:07"52aadf8dbd3543c0bc000001
289"9875"2008-10-13 14:24:47"52346436bd3543ed1800280a
289"10064"2008-10-13 14:24:47"52aadf8ebd3543c0c3000004
289"14129"2008-10-13 14:24:47"52aadf8ebd3543c0c3000003
289"258028"2008-10-13 14:24:47"52aadf8ebd3543c0c3000001
289"258031"2008-10-13 14:24:47"52aadf8ebd3543c0c3000002
454"1183"2010-12-19 14:16:43"5237749abd354331ca00c5b6
454"1189"2010-12-19 14:16:43"5237749abd354331ca00c5b8
454"1196"2010-12-19 14:16:43"5237749abd354331ca00c5b5
454"1201"2010-12-19 14:16:43"5237749abd354331ca00c5b7
454"1207"2010-12-19 14:16:43"5237749abd354331ca00c5b9
454"1269"2010-12-19 14:16:43"5237749abd354331ca00c5ba
3437"8304"2011-01-09 08:41:02"523480febd35433279001acf
3437"9173"2011-01-09 08:41:02"523480febd35433279001ad0
3437"9185"2011-01-09 08:41:02"523480febd35433279001ad1
3583"3895"2011-01-03 20:18:51"52aadf92bd3543c0dc00003d
3583"12639"2011-01-03 20:18:51"52aadf92bd3543c0dc000032
3583"12651"2011-01-03 20:18:51"52aadf92bd3543c0dc000016
3583"12660"2011-01-03 20:18:51"52aadf92bd3543c0dc00001b
3583"12665"2011-01-03 20:18:51"52aadf92bd3543c0dc00000f
3583"12669"2011-01-03 20:18:51"52aadf92bd3543c0dc00001a
3583"12677"2011-01-03 20:18:51"52aadf92bd3543c0dc00001d
3583"12681"2011-01-03 20:18:51"52aadf92bd3543c0dc00000b
3583"12687"2011-01-03 20:18:51"52aadf92bd3543c0dc000001
3583"12689"2011-01-03 20:18:51"52aadf92bd3543c0dc000005
3583"12730"2011-01-03 20:18:51"52aadf92bd3543c0dc000004
3583"12743"2011-01-03 20:18:51"52aadf92bd3543c0dc000027
3583"12747"2011-01-03 20:18:51"52aadf92bd3543c0dc000009
3583"12771"2011-01-03 20:18:51"52aadf92bd3543c0dc000013
3583"12775"2011-01-03 20:18:51"52aadf92bd3543c0dc000026
3583"12779"2011-01-03 20:18:51"52aadf92bd3543c0dc00001c
3583"12783"2011-01-03 20:18:51"52aadf92bd3543c0dc000034
3583"12796"2011-01-03 20:18:51"52aadf92bd3543c0dc000017
3583"12805"2011-01-03 20:18:51"52aadf92bd3543c0dc000010
3583"12823"2011-01-03 20:18:51"52aadf92bd3543c0dc000014
3583"12845"2011-01-03 20:18:51"52aadf92bd3543c0dc000015
3583"12879"2011-01-03 20:18:51"52aadf92bd3543c0dc00000c
3583"12893"2011-01-03 20:18:51"52aadf92bd3543c0dc000008
3583"12898"2011-01-03 20:18:51"52aadf92bd3543c0dc000012
3583"12906"2011-01-03 20:18:51"52aadf92bd3543c0dc00003f
3583"12924"2011-01-03 20:18:51"52aadf92bd3543c0dc000020
3583"12929"2011-01-03 20:18:51"52aadf92bd3543c0dc000043
3583"13007"2011-01-03 20:18:51"52aadf92bd3543c0dc000018
3583"13026"2011-01-03 20:18:51"52aadf92bd3543c0dc000037
3583"13028"2011-01-03 20:18:51"52aadf92bd3543c0dc000011
3583"13099"2011-01-03 20:18:51"52aadf92bd3543c0dc000007
3583"13104"2011-01-03 20:18:51"52aadf92bd3543c0dc000033
3583"13112"2011-01-03 20:18:51"52aadf92bd3543c0dc000041
3583"13148"2011-01-03 20:18:51"52aadf92bd3543c0dc00002c
3583"13158"2011-01-03 20:18:51"52aadf92bd3543c0dc000029
3583"13197"2011-01-03 20:18:51"52aadf92bd3543c0dc00002e
3583"13289"2011-01-03 20:18:51"52aadf92bd3543c0dc00003e
3583"13347"2011-01-03 20:18:51"52aadf92bd3543c0dc000002
3583"13518"2011-01-03 20:18:51"52aadf92bd3543c0dc00003c
3583"13586"2011-01-03 20:18:51"52aadf92bd3543c0dc00002a
3583"13590"2011-01-03 20:18:51"52aadf92bd3543c0dc000031
3583"13692"2011-01-03 20:18:51"52aadf92bd3543c0dc000006
3583"13709"2011-01-03 20:18:51"52aadf92bd3543c0dc00000d
3583"13714"2011-01-03 20:18:51"52aadf92bd3543c0dc000022
3583"13754"2011-01-03 20:18:51"52aadf92bd3543c0dc00003b
3583"13854"2011-01-03 20:18:51"52aadf92bd3543c0dc000042
3583"13868"2011-01-03 20:18:51"52aadf92bd3543c0dc00000e
3583"13928"2011-01-03 20:18:51"52aadf92bd3543c0dc000045
3583"13947"2011-01-03 20:18:51"52aadf92bd3543c0dc000036
3583"14072"2011-01-03 20:18:51"52aadf92bd3543c0dc000023
3583"14187"2011-01-03 20:18:51"52aadf92bd3543c0dc000019
3583"14354"2011-01-03 20:18:51"52aadf92bd3543c0dc000040
3583"14420"2011-01-03 20:18:51"52aadf92bd3543c0dc000039
3583"14761"2011-01-03 20:18:51"52aadf92bd3543c0dc000021
3583"14816"2011-01-03 20:18:51"52aadf92bd3543c0dc000030
3583"15073"2011-01-03 20:18:51"52aadf92bd3543c0dc00001f
3583"15074"2011-01-03 20:18:51"52aadf92bd3543c0dc000003
3583"15773"2011-01-03 20:18:51"52aadf92bd3543c0dc000024
3583"15985"2011-01-03 20:18:51"52aadf92bd3543c0dc000046
3583"16822"2011-01-03 20:18:51"52aadf92bd3543c0dc000025
3583"21540"2011-01-03 20:18:51"52aadf92bd3543c0dc00002b
3583"25742"2011-01-03 20:18:51"52aadf92bd3543c0dc000035
3583"27498"2011-01-03 20:18:51"52aadf92bd3543c0dc00001e
3583"33472"2011-01-03 20:18:51"52aadf92bd3543c0dc000044
3583"35030"2011-01-03 20:18:51"52aadf92bd3543c0dc00002d
3583"130199"2011-01-03 20:18:51"52aadf92bd3543c0dc00003a
3583"178222"2011-01-03 20:18:51"52aadf92bd3543c0dc000028
3583"214988"2011-01-03 20:18:51"52aadf92bd3543c0dc00002f
3583"266174"2011-01-03 20:18:51"52aadf92bd3543c0dc00000a
3583"507533"2011-01-03 20:18:51"52aadf92bd3543c0dc000038
3750"11067"2009-04-27 13:09:51"52347dacbd35439f13000a4e
3750"11082"2009-04-27 13:09:51"52347dacbd35439f13000a50
3750"11109"2009-04-27 13:09:51"52347dacbd35439f13000a4f
5326"12985"2008-03-31 18:20:41"52346b63bd35432fdb000ac5
7242"510"2009-03-21 21:32:25"523500b0bd35431a7b004356
7242"15946"2009-03-21 21:32:25"523500b0bd35431a7b004355
7427"16574"2010-09-15 13:59:47"52346c07bd3543ad7e000537
8955"13646"2009-04-24 21:34:25"52347663bd35437ca5000a6e
8955"25010"2009-04-24 21:34:25"52347663bd35437ca5000a6d
8955"25016"2009-04-24 21:34:25"52347663bd35437ca5000a6f
9215"23736"2009-10-21 19:55:54"523633d1bd3543535f008f20
9215"30281"2009-10-21 19:55:54"523633d1bd3543535f008f23
9215"30282"2009-10-21 19:55:54"523633d1bd3543535f008f21
9215"30285"2009-10-21 19:55:54"523633d1bd3543535f008f2b
9215"30286"2009-10-21 19:55:54"523633d1bd3543535f008f29
9215"30288"2009-10-21 19:55:54"523633d1bd3543535f008f24
9215"30291"2009-10-21 19:55:54"523633d1bd3543535f008f27
9215"30300"2009-10-21 19:55:54"523633d1bd3543535f008f25
9215"30313"2009-10-21 19:55:54"523633d1bd3543535f008f2e
9215"30345"2009-10-21 19:55:54"523633d1bd3543535f008f2a
9215"30464"2009-10-21 19:55:54"523633d1bd3543535f008f22
9215"30471"2009-10-21 19:55:54"523633d1bd3543535f008f28
9215"30550"2009-10-21 19:55:54"523633d1bd3543535f008f2c
9215"31764"2009-10-21 19:55:54"523633d1bd3543535f008f26
9215"31972"2009-10-21 19:55:54"523633d1bd3543535f008f2d
9215"109447"2009-10-21 19:55:54"523633d1bd3543535f008f2f
9636"3468"2010-09-10 14:17:48"5236b5debd35439d0b007385
9636"9441"2010-09-10 14:17:48"5236b5debd35439d0b007395
9636"9652"2010-09-10 14:17:48"5236b5debd35439d0b007399
9636"11258"2010-09-10 14:17:48"5236b5dfbd35439d0b00739c
9636"11260"2010-09-10 14:17:48"5236b5debd35439d0b007386
9636"16660"2010-09-10 14:17:48"5236b5debd35439d0b007392
9636"17548"2010-09-10 14:17:48"5236b5debd35439d0b00739b
9636"21052"2010-09-10 14:17:48"5236b5debd35439d0b007382
9636"28891"2010-09-10 14:17:48"5236b5debd35439d0b007384
9636"28925"2010-09-10 14:17:48"5236b5debd35439d0b007389
9636"28928"2010-09-10 14:17:48"5236b5debd35439d0b007394
9636"28963"2010-09-10 14:17:48"5236b5debd35439d0b007396
9636"29048"2010-09-10 14:17:48"5236b5debd35439d0b007393
9636"29161"2010-09-10 14:17:48"5236b5debd35439d0b00738d
9636"29172"2010-09-10 14:17:48"5236b5debd35439d0b007397
9636"29371"2010-09-10 14:17:48"5236b5debd35439d0b007398
9636"29598"2010-09-10 14:17:48"5236b5debd35439d0b007390
9636"30083"2010-09-10 14:17:48"5236b5debd35439d0b007388
9636"30343"2010-09-10 14:17:48"5236b5debd35439d0b00738f
9636"30620"2010-09-10 14:17:48"5236b5debd35439d0b007380
9636"30634"2010-09-10 14:17:48"5236b5debd35439d0b007387
9636"31492"2010-09-10 14:17:48"5236b5debd35439d0b007383
9636"33072"2010-09-10 14:17:48"5236b5debd35439d0b00738b
9636"54793"2010-09-10 14:17:48"5236b5debd35439d0b00738a
9636"72858"2010-09-10 14:17:48"5236b5debd35439d0b00739a
9636"79752"2010-09-10 14:17:48"5236b5debd35439d0b007381
9636"102239"2010-09-10 14:17:48"5236b5debd35439d0b00738e
9636"127535"2010-09-10 14:17:48"5236b5debd35439d0b00738c
9636"127536"2010-09-10 14:17:48"5236b5debd35439d0b007391
9636"174656"2010-09-10 14:17:48"52aadf9bbd3543c111000001
10380"11258"2011-03-24 21:05:14"5234a4ddbd354381ef000ffb
10380"19452"2011-03-24 21:05:14"5234a4ddbd354381ef000ffc
10380"27558"2011-03-24 21:05:14"5234a4ddbd354381ef000ffe
10380"27561"2011-03-24 21:05:14"5234a4ddbd354381ef000ffd
10593"8413"2011-03-29 19:10:45"52351de7bd3543048a0035f6
10593"11067"2011-03-29 19:10:45"52351de7bd3543048a0035f3
10593"11705"2011-03-29 19:10:45"52aadf9dbd3543c123000002
10593"11766"2011-03-29 19:10:45"52351de7bd3543048a0035f5
10593"19286"2011-03-29 19:10:45"52351de7bd3543048a0035f4
10593"30394"2011-03-29 19:10:45"52351de7bd3543048a0035f7
10593"30793"2011-03-29 19:10:45"52351de7bd3543048a0035f2
10593"507735"2011-03-29 19:10:45"52aadf9dbd3543c123000001
10629"31721"2011-07-22 01:52:19"52357031bd3543fd1a00713a
10629"31730"2011-07-22 01:52:19"52357031bd3543fd1a007138
10629"32347"2011-07-22 01:52:19"52357031bd3543fd1a007137
10629"32353"2011-07-22 01:52:19"52357031bd3543fd1a007139
10629"32361"2011-07-22 01:52:19"52357031bd3543fd1a00713c
10629"32377"2011-07-22 01:52:19"52357031bd3543fd1a00713b
10629"32381"2011-07-22 01:52:19"52357031bd3543fd1a00713d
10629"32577"2011-07-22 01:52:19"52357031bd3543fd1a00713f
10629"32652"2011-07-22 01:52:19"52357031bd3543fd1a00713e
10629"34875"2011-07-22 01:52:19"52357031bd3543fd1a007136
12554"34301"2010-10-02 13:53:38"5235211cbd35433fe6003ff8
12554"34485"2010-10-02 13:53:38"5235211cbd35433fe6003ffa
12554"35046"2010-10-02 13:53:38"5235211cbd35433fe6003ff9
12976"39336"2010-01-11 13:35:54"52350e32bd3543e3d50023cd
12976"39353"2010-01-11 13:35:54"52350e32bd3543e3d50023ce
12976"39394"2010-01-11 13:35:54"52350e32bd3543e3d50023cc
13566"9651"2010-07-22 16:06:36"5235151ebd354355b7002081
13566"21541"2010-07-22 16:06:36"5235151ebd354355b7002078
13566"23973"2010-07-22 16:06:36"5235151ebd354355b7002099
13566"26465"2010-07-22 16:06:36"52aadfa2bd3543c141000001
13566"30989"2010-07-22 16:06:36"5235151ebd354355b7002084
13566"34657"2010-07-22 16:06:36"5235151ebd354355b7002070
13566"40237"2010-07-22 16:06:36"5235151ebd354355b7002072
13566"42385"2010-07-22 16:06:36"5235151ebd354355b70020a3
13566"42387"2010-07-22 16:06:36"5235151ebd354355b7002093
13566"42389"2010-07-22 16:06:36"5235151ebd354355b7002089
13566"42391"2010-07-22 16:06:36"5235151ebd354355b700206e
13566"42392"2010-07-22 16:06:36"5235151ebd354355b7002076
13566"42393"2010-07-22 16:06:36"5235151ebd354355b70020a9
13566"42406"2010-07-22 16:06:36"5235151ebd354355b7002086
13566"42425"2010-07-22 16:06:36"5235151ebd354355b7002097
13566"42427"2010-07-22 16:06:36"5235151ebd354355b7002073
13566"42439"2010-07-22 16:06:36"5235151ebd354355b7002088
13566"42458"2010-07-22 16:06:36"5235151ebd354355b70020a4
13566"42459"2010-07-22 16:06:36"5235151ebd354355b7002071
13566"42486"2010-07-22 16:06:36"5235151ebd354355b7002091
13566"42562"2010-07-22 16:06:36"5235151ebd354355b70020a1
13566"42590"2010-07-22 16:06:36"5235151ebd354355b700208d
13566"42600"2010-07-22 16:06:36"5235151ebd354355b70020aa
13566"42651"2010-07-22 16:06:36"5235151ebd354355b7002075
13566"42770"2010-07-22 16:06:36"5235151ebd354355b7002092
13566"42810"2010-07-22 16:06:36"5235151ebd354355b700209b
13566"42862"2010-07-22 16:06:36"5235151ebd354355b7002098
13566"42900"2010-07-22 16:06:36"5235151ebd354355b700207d
13566"42911"2010-07-22 16:06:36"5235151ebd354355b700209d
13566"42976"2010-07-22 16:06:36"5235151ebd354355b7002083
13566"43004"2010-07-22 16:06:36"5235151ebd354355b70020a7
13566"43151"2010-07-22 16:06:36"5235151ebd354355b7002096
13566"43161"2010-07-22 16:06:36"5235151ebd354355b70020a5
13566"43167"2010-07-22 16:06:36"5235151ebd354355b7002074
13566"43184"2010-07-22 16:06:36"5235151ebd354355b700208e
13566"43207"2010-07-22 16:06:36"5235151ebd354355b700209a
13566"43229"2010-07-22 16:06:36"5235151ebd354355b70020a2
13566"43236"2010-07-22 16:06:36"5235151ebd354355b7002085
13566"43310"2010-07-22 16:06:36"5235151ebd354355b7002090
13566"43322"2010-07-22 16:06:36"5235151ebd354355b7002077
13566"43357"2010-07-22 16:06:36"5235151ebd354355b700208c
13566"43365"2010-07-22 16:06:36"5235151ebd354355b70020a0
13566"43752"2010-07-22 16:06:36"5235151ebd354355b70020a6
13566"46361"2010-07-22 16:06:36"5235151ebd354355b700207a
13566"48085"2010-07-22 16:06:36"5235151ebd354355b700208f
13566"51273"2010-07-22 16:06:36"5235151ebd354355b700206c
13566"51276"2010-07-22 16:06:36"5235151ebd354355b700206d
13566"51279"2010-07-22 16:06:36"5235151ebd354355b700206f
13566"51281"2010-07-22 16:06:36"5235151ebd354355b7002079
13566"51283"2010-07-22 16:06:36"5235151ebd354355b700207b
13566"51285"2010-07-22 16:06:36"5235151ebd354355b700207c
13566"51286"2010-07-22 16:06:36"5235151ebd354355b700207e
13566"51288"2010-07-22 16:06:36"5235151ebd354355b700207f
13566"51291"2010-07-22 16:06:36"5235151ebd354355b7002080
13566"51293"2010-07-22 16:06:36"5235151ebd354355b7002082
13566"51296"2010-07-22 16:06:36"5235151ebd354355b7002087
13566"51298"2010-07-22 16:06:36"5235151ebd354355b700208a
13566"51301"2010-07-22 16:06:36"5235151ebd354355b700208b
13566"51303"2010-07-22 16:06:36"5235151ebd354355b7002094
13566"51306"2010-07-22 16:06:36"5235151ebd354355b7002095
13566"51308"2010-07-22 16:06:36"5235151ebd354355b700209c
13566"51310"2010-07-22 16:06:36"5235151ebd354355b700209e
13566"51311"2010-07-22 16:06:36"5235151ebd354355b700209f
13566"51314"2010-07-22 16:06:36"5235151ebd354355b70020a8
13566"51315"2010-07-22 16:06:36"5235151ebd354355b70020ab
13566"51317"2010-07-22 16:06:36"5235151ebd354355b70020ac
14327"42830"2010-06-24 17:35:22"5235d4acbd3543a77b0038f8
14327"54415"2010-06-24 17:35:22"5235d4acbd3543a77b0038f9
14328"30953"2011-02-07 22:19:18"52352525bd354308b5001186
14328"31802"2011-02-07 22:19:18"52352525bd354308b5001188
14328"43540"2011-02-07 22:19:18"52352525bd354308b5001185
14328"46231"2011-02-07 22:19:18"52352525bd354308b5001189
14328"52446"2011-02-07 22:19:18"52352525bd354308b5001187
14912"45814"2010-02-06 14:17:58"52353469bd3543fb4a00101b
14912"54016"2010-02-06 14:17:58"52353469bd3543fb4a00101c
15018"30620"2009-11-16 01:01:45"52354bbbbd3543d97a00138c
15018"33696"2009-11-16 01:01:45"52354bbbbd3543d97a001391
15018"42585"2009-11-16 01:01:45"52354bbbbd3543d97a001392
15018"55075"2009-11-16 01:01:45"52354bbbbd3543d97a00138d
15018"55095"2009-11-16 01:01:45"52354bbbbd3543d97a00138e
15018"55731"2009-11-16 01:01:45"52354bbbbd3543d97a00138f
15018"55755"2009-11-16 01:01:45"52354bbbbd3543d97a001390
15974"30912"2010-03-02 10:05:30"52354bf3bd3543dc3100235e
15974"42789"2010-03-02 10:05:30"52354bf3bd3543dc31002361
15974"54700"2010-03-02 10:05:30"52354bf3bd3543dc3100235f
15974"55579"2010-03-02 10:05:30"52354bf3bd3543dc3100235d
15974"59156"2010-03-02 10:05:30"52354bf3bd3543dc31002360
16134"30277"2011-08-12 00:27:25"52353f5abd3543d6aa000c21
16134"55895"2011-08-12 00:27:25"52353f5abd3543d6aa000c24
16134"55910"2011-08-12 00:27:25"52353f5abd3543d6aa000c23
16134"55952"2011-08-12 00:27:25"52353f5abd3543d6aa000c22
16402"882"2011-09-17 05:55:13"52357116bd354372fe002850
16402"57224"2011-09-17 05:55:13"52357116bd354372fe00284f
16402"57370"2011-09-17 05:55:13"52aadfa9bd3543c178000001
16402"57374"2011-09-17 05:55:13"52aadfa9bd3543c178000003
16402"57379"2011-09-17 05:55:13"52357116bd354372fe002852
16402"57386"2011-09-17 05:55:13"52aadfa9bd3543c178000002
16402"58558"2011-09-17 05:55:13"52aadfa9bd3543c178000004
16402"59319"2011-09-17 05:55:13"52357116bd354372fe002851
17566"59805"2011-03-07 16:28:54"5235a61fbd3543784d004338
17566"60272"2011-03-07 16:28:54"5235a61fbd3543784d004339
19580"3410"2010-05-10 15:17:33"523558b0bd3543556d00113c
19580"17359"2010-05-10 15:17:33"523558b0bd3543556d00113a
19580"26969"2010-05-10 15:17:33"523558b0bd3543556d001129
19580"40434"2010-05-10 15:17:33"523558b0bd3543556d001135
19580"51368"2010-05-10 15:17:33"523558b0bd3543556d00112f
19580"62190"2010-05-10 15:17:33"523558b0bd3543556d00111f
19580"62192"2010-05-10 15:17:33"523558b0bd3543556d001130
19580"62193"2010-05-10 15:17:33"523558b0bd3543556d001137
19580"62266"2010-05-10 15:17:33"523558b0bd3543556d00113f
19580"62279"2010-05-10 15:17:33"523558b0bd3543556d00112b
19580"62286"2010-05-10 15:17:33"523558b0bd3543556d00111a
19580"63519"2010-05-10 15:17:33"523558b0bd3543556d00112e
19580"64809"2010-05-10 15:17:33"523558b0bd3543556d001116
19580"64810"2010-05-10 15:17:33"523558b0bd3543556d001117
19580"64811"2010-05-10 15:17:33"523558b0bd3543556d001118
19580"64813"2010-05-10 15:17:33"523558b0bd3543556d001119
19580"64815"2010-05-10 15:17:33"523558b0bd3543556d00111b
